team_id,arena_id,team_name,team_city,team_state,year_founded
1610612737,24,Atlanta Hawks,Atlanta,Atlanta,1949
1610612738,26,Boston Celtics,Boston,Massachusetts,1946
1610612739,20,Cleveland Cavaliers,Cleveland,Ohio,1970
1610612740,22,New Orleans Pelicans,New Orleans,Louisiana,2002
1610612741,28,Chicago Bulls,Chicago,Illinois,1966
1610612742,1,Dallas Mavericks,Dallas,Texas,1980
1610612743,3,Denver Nuggets,Denver,Colorado,1976
1610612744,6,Golden State Warriors,Golden State,California,1946
1610612745,27,Houston Rockets,Houston,Texas,1967
1610612746,7,Los Angeles Clippers,Los Angeles,California,1970
1610612747,7,Los Angeles Lakers,Los Angeles,California,1948
1610612748,14,Miami Heat,Miami,Florida,1988
1610612749,10,Milwaukee Bucks,Milwaukee,Wisconsin,1968
1610612750,25,Minnesota Timberwolves,Minnesota,Minnesota,1989
1610612751,4,Brooklyn Nets,Brooklyn,New York,1976
1610612752,17,New York Knicks,New York,New York,1946
1610612753,15,Orlando Magic,Orlando,Florida,1989
1610612754,12,Indiana Pacers,Indiana,Indiana,1976
1610612755,29,Philadelphia 76ers,Philadelphia,Pennsylvania,1949
1610612756,11,Phoenix Suns,Phoenix,Arizona,1968
1610612757,18,Portland Trail Blazers,Portland,Oregon,1970
1610612758,13,Sacramento Kings,Sacramento,California,1948
1610612759,2,San Antonio Spurs,San Antonio,Texas,1976
1610612760,19,Oklahoma City Thunder,Oklahoma City,Oklahoma,1967
1610612761,21,Toronto Raptors,Toronto,Ontario,1995
1610612762,8,Utah Jazz,Utah,Utah,1974
1610612763,9,Memphis Grizzlies,Memphis,Tennessee,1995
1610612764,5,Washington Wizards,Washington,District of Columbia,1961
1610612765,16,Detroit Pistons,Detroit,Michigan,1948
1610612766,23,Charlotte Hornets,Charlotte,North Carolina,1988